               litter            soil            
Boreal         6.1839228504146   23.2623449134942
Desert         0.535311030472779 2.64546885071475
DesertCold     2.35666460066574  12.3467992610293
Semiarid       0.615976669492559 3.1791660739616 
TemperateDry   1.4282334929967   6.36494203042297
TemperateHumid 2.72255040633382  8.05720069928753
TropicalDry    2.18947525911703  5.8316165377815 
TropicalHumid  3.45086151828249  8.34168476930346
Tundra         5.37274588503506  28.0663177322837
Unproductive   1.66077972515944  13.3911626036819
