               const               tmp                 ppm                
Tundra         -4.74621535263663   0.589196936438364   0.00839024119327204
Boreal         0.901651224756913   0.314100817077607   0.0114243169134234 
DesertCold     1.37725675176876    0.0434769852089295  0.00354879987352657
TemperateDry   3.06349563551963    -0.116116261227886  0.00716986907699478
TemperateHumid 8.30848317985801    -0.305181432137533  0.0127475388687056 
Desert         -0.0459219365486805 0.00894851543004387 0.00193634108152961
Semiarid       -2.52906004252952   0.111301210135152   0.00924883228954126
TropicalDry    11.9005907848332    -0.468732555357284  0.0262473019177294 
TropicalHumid  22.0778502350185    -0.475196579821865  0.0413223085828216 
Unproductive   -2.49334246932929   0.252428880110881   0.00210568840027462
