               litter            soil            
Boreal         0.796020045249563 10.0506568620888
Desert         0.152260798297703 1.81230226361148
DesertCold     0.578306476234141 6.87775576530168
Semiarid       0.219669235143077 3.0169887019676 
TemperateDry   0.296970579241548 4.67843756359506
TemperateHumid 0.439914821063474 5.21318187957698
TropicalDry    0.502058649076685 4.76623896229231
TropicalHumid  0.640579719862819 5.74193568379344
Tundra         0.55880685634496  4.87840558021728
Unproductive   0.173732227418137 1.29854682881629
